ID	Traditional	Simplified	Pinyin	POS	Meaning	Tags
B5L09-II-08	定時	定时	dìngshí	Vs-attr	to be fixed in time (定時炸彈 = time bomb)	slides ankiweb ccc book
B5L09-II-10	水力	水力	shuǐlì	N	water power, hydropower	slides ankiweb ddsg ccc
B5L09-II-14	機率	机率	jīlǜ	N	chance (of something happening), likelihood	slides ankiweb ccc book
B5L09-II-15	雷	雷	léi	N	lightening	slides ddsg
B5L09-II-18	有利	有利	yǒulì	Vs	beneficial to	slides ankiweb ddsg ccc
B5L09-II-19	二氧化碳	二氧化碳	Èryǎnghuàtàn	N	carbon dioxide	slides ddsg mquizlet
B5L09-II-29	高額	高额	gāo'é	Vs-attr	high (amount of money, tariff, profit, etc.)	slides ddsg
B5L09-II-38	優良	优良	yōuliáng	Vs	fine, excellent, good	slides ankiweb ccc book
B5L09-II-39	民生	民生	mínshēng	N	people's well-being/livelihood	slides ankiweb ddsg
B5L10-I-08	盡快	尽快	jìnkuài	Adv	as soon/quickly as possible	slides ankiweb ddsg ccc
B5L10-II-06	駐外	驻外	zhùwài	Vi	to be stationed abroad	slides ankiweb ddsg ccc
B5L10-II-13	交配	交配	jiāopèi	Vi	to mate, copulate	slides ankiweb ddsg ccc
B5L10-II-16	互補	互补	hùbǔ	Vs	to complement each other	slides ankiweb ddsg ccc
B5L10-II-25	干涉	干涉	gānshè	V	to interfere	slides ankiweb ddsg ccc
B5L10-II-28	第三者	第三者	dìsānzhě	Ph	"third party" (i.e., the "other man/woman")	slides ankiweb ccc book
B5L10-II-30	無異	无异	wúyì	Vs	not different from, the same as, tantamount to	slides ankiweb ccc book
B5L10-II-37	燈光	灯光	dēngguāng	N	lights	slides ankiweb ccc book
B6L01-I-0-01	職校	职校	zhíxiào	N	vocational school	mquizlet
B6L01-I-03	總要	总要	zǒngyào	Vaux	to have to	slides ankiweb ccc
B6L01-I-04	嚴陣以待	严阵以待	yánzhèn yǐdài	Id	be ready for, be standing by, lit. wait in full battle array	slides ankiweb ccc
B6L01-I-06	分析	分析	fēnxī	V	to analyze	slides ankiweb ccc
B6L01-I-07	身為	身为	shēnwéi	Vst	as, in the capacity of	slides ankiweb ccc
B6L01-I-09	一技在身	一技在身	yíjì zàishēn	Id	to have a skill	slides ankiweb ccc
B6L01-I-13	製造業	制造业	zhìzàoyè	N	manufacturing industry (製造, zhìzào, V, manufacturing; -業, -yè, N, industry)	slides ankiweb ccc
B6L01-I-14	上工	上工	shànggōng	Vi	to start work, to work independently without supervision	slides ankiweb ccc
B6L01-I-15	關鍵	关键	guānjiàn	N	the key to, key	slides ankiweb ccc
B6L01-I-17	中、小型企業	中、小型企业	zhōng, xiǎo xíng qìyè	Ph	small and medium-sized enterprises (SMEs)	slides ankiweb ccc
B6L01-I-T-02	洛桑管理學院	洛桑管理学院	Luòsāng guǎnlǐ xuéyuàn		Lausanne Institute (for Management Development)	slides ankiweb ccc
B6L01-II-12	轉向	转向	zhuǎnxiàng	V	to shift, change directions	mquizlet
B6L01-II-22	低價	低价	dījià	N	low price, discount	mquizlet
B6L01-II-23	傾銷	倾销	qīngxiāo	V	to dump (products)	book
B6L01-II-24	消滅	消灭	xiāomiè	V	to be eliminated, displaced	book
B6L01-III-12	奮鬥（史）	奋斗（史）	fèndòu (shǐ)	Vi	work hard, struggle; -史, -shǐ, N, history	book
B6L01-III-T-01	教部（＝教育部）	教部（＝教育部）	Jiāobù (= Jiāoyùbù)		Ministry of Education	book
B6L01-III-T-02	曾信哲	曾信哲	Zēng Xìnzhé		Mark Tseng (the chairman of ARITEX, specializes in the manufacturing of hardware accessories for luxury yachts)	
B6L01-III-T-03	屏東	屏東	Píngdōng		Pingtung, southern Taiwan	book
B6L01-III-T-04	九如	九如	Jiǔrú		Jiuru, a village in Pingtung	book
B6L02-I-08	配	配	pèi	V	to get (glasses), to fill (a prescription), to mix and match (clothes) etc. (In this lesson, 'to have eye-glasses fitted at an optical store, without a doctor's prescription, a common practice in Taiwan.)	slides
B6L02-I-13	估計	估计	gūjì	Vi	to estimate	slides
B6L02-I-15	自行	自行	zìxíng	Adv	by oneself, on one's own	slides
B6L02-I-17	副	副	fù	M	measure for (bad) attitudes, (high-brow) appearances, glasses	mquizlet
B6L02-I-28	大放光明	大放光明	dàfàng guāngmíng	Ph	shine forth in glory, have a great ray of light (in the text, it is a play on words)	slides
B6L02-I-34	貢獻	贡献	gòngxiàn	N	contribution	slides
B6L02-I-T-01	牛津大學	牛津大学	Niújīn Dàxué		Oxford University	slides
B6L02-I-T-02	喬許．席爾佛	乔许．席尔佛	Qiáoxǔ Xí'ěrfó		Professor Joshua Silver (a UK physicist whose discoveries have included a new way to change the curvature of lenses, and the chief executive of the Centre for Vision in the Developing World at the University of Oxford)	slides
