ID	Traditional	Simplified	Pinyin	POS	Meaning	Tags
B3L10-I-19	止痛	止痛	zhǐtòng	Vi	to kill pain (lit. stop pain)	slides quizlet ankiweb ddsg ccc
B3L10-I-30	撞倒	撞倒	zhuàng dǎo		to knock down, knock over	slides quizlet ankiweb ddsg ccc
B3L10-I-32	照 X 光	照 X 光	zhào X guāng		to take an X-ray	book
B3L10-I-33	動手術	动手术	dòng shǒushù		to have/undergo a surgery	slides quizlet ankiweb ddsg ccc
B3L10-II-06	競爭力	竞争力	jìngzhēnglì	N	competitive edge	ankiweb ccc book
B3L10-II-08	整型	整型	zhěngxíng	V-sep	plastic surgery	slides quizlet ankiweb ddsg ccc
B3L10-II-18	待遇	待遇	dàiyù	N	pay	slides quizlet ankiweb ccc book
B3L10-II-19	公立	公立	gōnglì	Vs-attr	public; government-run	slides quizlet ankiweb ccc book
B3L10-II-25	尊敬	尊敬	zūnjìng	Vst	to respect, respectful of	slides quizlet ankiweb ccc book
B3L10-II-30	愛林	爱林	Àilín		female person's name	ankiweb ccc book
B3L10-II-31	微整型	微整型	wéi zhěngxíng		micro-cosmetic surgery, plastic surgery, face contouring	slides quizlet ankiweb ddsg ccc
B3L10-II-32	數一數二	数一数二	shǔyī shǔ'èr		one of the top or best in..., leading...	quizlet book
B3L11-I-17	將軍	将军	jiāngjūn	N	general	slides quizlet ankiweb ccc book
B3L11-I-22	嘍	喽	lou	Ptc	a sentence-final particle meaning 'in that case'	slides quizlet ankiweb ddsg
B3L11-I-27	娶	娶	qǔ	V	to take a woman in marriage	slides quizlet ankiweb ddsg ccc
B3L11-I-30	紅毛城	红毛城	Hóngmáo chéng		Fort Santo Domingo, lit. red-hair city	slides quizlet ankiweb ddsg ccc
B3L11-I-33	漢人	汉人	Hàn rén		Han-ethnic Chinese	slides quizlet ankiweb ddsg ccc
B3L11-I-34	鄭成功	郑成功	Zhèng Chénggōng		Koxinga, 國姓爺, 1624-1662, who ruled Taiwan against the Manchu sovereignty	quizlet ankiweb book
B3L11-I-38	大清帝國	大清帝国	Dàqīng dìguó		the Qing Empire	slides quizlet ankiweb ccc book
B3L11-II-02	中式	中式	Zhōngshì	N	Chinese-style	slides quizlet ankiweb ddsg ccc
B3L11-II-03	套	套	tào	M	set of (books, clothes, equipment etc.)	book
B3L11-II-04	燒餅	烧饼	shāobǐng	N	clay oven sesame seed biscuits, like Indian 'nan'	slides quizlet ankiweb ddsg
B3L11-II-06	飯糰	饭团	fàntuán	N	rice rolls with various fillings	slides quizlet ankiweb ddsg ccc
B3L11-II-08	內戰	内战	nèizhàn	N	civil war	slides quizlet ankiweb ddsg ccc
B3L11-II-15	不斷	不断	búduàn	Vs	continual, incessant	slides quizlet ankiweb ccc book
B3L11-II-22	菜色	菜色	càisè	N	variety of dishes	slides quizlet ankiweb ddsg ccc
B3L11-II-29	蔣介石	蒋介石	Jiǎng Jièshí		Chiang Kai-Shek, 1887-1975	slides quizlet ankiweb ccc book
B3L11-II-30	國共內戰	国共内战	Guó Gòng nèizhàn		the Chinese Civil War (i.e., between the Kuomintang and the Communists), 1927-1937, 1945-1950	slides quizlet ankiweb ccc
B3L11-II-39	各種各樣	各种各样	gèzhǒng gèyàng		various types	slides quizlet ankiweb ccc book
B3L11-II-40	殖民統治	殖民统治	zhímín tǒngzhì		to colonise and rule	slides quizlet ankiweb ddsg ccc
B3L11-II-41	味噌湯	味噌汤	wèizēng tāng		miso soup (Japanese food)	slides quizlet ankiweb ddsg ccc
B3L11-II-43	進一步	进一步	jìn yí bù		further	ankiweb ccc book
B3L12-I-05	遊行	游行	yóuxíng	N	demonstration, rally	slides quizlet ddsg ccc book
B3L12-I-17	由	由	yóu	Prep	up to, by (a doer)	slides quizlet ankiweb ddsg ccc
B3L12-I-27	投票權	投票权	tóupiàoquán	N	right to vote, suffrage	mquizlet
B3L12-I-29	權利	权利	quánlì	N	right	slides quizlet ankiweb ddsg ccc
B3L12-I-40	推銷員	推销员	tuīxiāoyuán	N	salesperson	ankiweb ccc book
B3L12-II-18	暫時	暂时	zhànshí	Adv	temporarily, for the time being	slides quizlet ddsg book
B3L12-II-23	弱勢	弱势	ruòshì	N	disadvantaged (lit. weak power)	slides quizlet ankiweb ddsg ccc
B3L12-II-27	義務	义务	yìwù	Adv	to volunteer, on a voluntary basis, to do something gratis	slides quizlet ankiweb ccc book
B3L12-II-33	辭掉	辞掉	cídiào		to quit, resign	slides quizlet ankiweb ddsg ccc
B3L12-II-36	中間選民	中间选民	zhōngjiān xuǎnmín		swing voters	slides quizlet ankiweb ccc book
B4L01-I-03	聊天室	聊天室	liáotiānshì	N	chatroom (室 -shì, room)	slides quizlet ankiweb book
B4L01-I-04	上班族	上班族	shàngbānzú	N	(office) workers (族 -zú, group)	slides quizlet ankiweb book
B4L01-I-05	與其	与其	yǔqí	Conj	rather than...	slides quizlet book
B4L01-I-12	恐怖片	恐怖片	kǒngbùpiàn	N	horror movie (恐怖 kǒngbù, scary; 片 -piàn, film)	slides quizlet ankiweb book
B4L01-I-13	愛情片	爱情片	àiqíngpiàn	N	love story or romance movie (愛情 àiqíng, love)	slides book
B4L01-I-18	簡直	简直	jiǎnzhí	Adv	simply, really	slides quizlet ankiweb ccc book
B4L01-I-21	限制級	限制级	xiànzhìjí	N	restricted (viewing for movies) (限制 xiànzhì, restricted; 級 -jí, level)	quizlet ankiweb book
B4L01-I-26	室內設計	室内设计	shìnèi shèjì		interior design	slides quizlet ankiweb ddsg ccc
B4L01-II-01	溫暖	温暖	wēnnuǎn	Vs	warm	slides quizlet ankiweb ccc book
B4L01-II-08	後	后	hòu	N	afterwards (formal)	slides quizlet ankiweb ddsg ccc
B4L01-II-09	解決	解决	jiějué	V	to take care	slides quizlet ankiweb ccc book
B4L01-II-11	網友	网友	wǎngyǒu	N	online friends	slides quizlet ankiweb ccc book
B4L01-II-13	電腦	电脑	diànnǎo	N	computer	slides quizlet ankiweb ddsg ccc
B4L01-II-19	往往	往往	wǎngwǎng	Adv	oftentimes, generally	slides quizlet ankiweb ddsg ccc
B4L01-II-23	大膽	大胆	dàdǎn	Vs	to be bold, courageous	slides quizlet ankiweb ccc book
B4L01-II-25	轉換	转换	zhuǎnhuàn	V	to change, transform	slides quizlet ankiweb ccc book
B4L01-II-26	虛擬	虚拟	xūnǐ	Vs-attr	virtual	slides quizlet ankiweb ddsg ccc
B4L01-II-27	現實	现实	xiànshí	Vs	actual, real	slides quizlet ankiweb ccc book
B4L01-II-28	心理	心理	xīnlǐ	N	psychological, mental	slides quizlet ankiweb ddsg ccc
B4L01-II-39	明星高中	明星高中	míngxīng gāozhōng		distinguished, exclusive high school	ankiweb ddsg book
B4L01-II-40	早出晚歸	早出晚归	zǎochū wǎnguī		to leave home early and get home late	slides quizlet ankiweb ddsg ccc
B4L01-II-42	喘不過氣	喘不过气	chuǎnbúguò qì		to be under great pressure, (lit.) unable to breathe	slides quizlet ankiweb ddsg ccc
B4L02-I-05	打扮	打扮	dǎbàn	V	to put on makeup	slides quizlet ddsg ccc book
B4L02-I-06	音樂廳	音乐厅	yīnyuètīng	N	music hall, concert hall (廳 -tīng, hall)	slides ankiweb book
B4L02-I-07	表演	表演	biǎoyǎn	N/V	performance; to perform	slides quizlet ankiweb ccc book
B4L02-I-10	丟臉	丢脸	diūliǎn	Vs-sep	to lose face, to be embarrassed	slides quizlet ankiweb ddsg ccc
B4L02-I-14	演出者	演出者	yǎnchūzhě	N	performer (演出 yǎnchū, to perform; 者 -zhě, person)	slides quizlet book
B4L02-I-15	尊重	尊重	zūnzhòng	Vst	to respect	slides quizlet ankiweb ccc book
B4L02-I-18	中場	中场	zhōngchǎng	N	intermission, halftime	slides quizlet ankiweb ddsg ccc
B4L02-I-20	禮貌	礼貌	lǐmào	N	courtesy	slides quizlet ankiweb ccc book
B4L02-I-24	咳嗽	咳嗽	késòu	Vi	to cough	slides quizlet ankiweb ddsg ccc
B4L02-I-28	手冊	手册	shǒucè	N	programme, manual	slides quizlet ankiweb ddsg ccc
B4L02-I-29	洗手間	洗手间	xǐshǒujiān	N	restroom (間 -jiān, part of 房間, room)	slides quizlet ankiweb book
B4L02-I-35	聯絡感情	联络感情	liánluò gǎnqíng		to get to know each other better to strengthen ties with each other	slides quizlet ddsg book
B4L02-II-02	強調	强调	qiángdiào	V	to stress	slides quizlet ankiweb ccc book
B4L02-II-04	千萬	千万	qiānwàn	Adv	by all means	slides quizlet ankiweb ccc book
B4L02-II-09	畫	画	huà	V/N	to paint; painting	slides quizlet ankiweb ddsg ccc
B4L02-II-16	之	之	zhī	Ptc	of (from classical Chinese, roughly equivalent to the modern Chinese 的)	slides quizlet book
B4L02-II-19	所	所	suǒ	Ptc	a verbal marker (marking what comes after as a verb)	slides quizlet ankiweb ddsg ccc
B4L02-II-23	得	得	dé	Vpt	to get, obtain, receive	slides quizlet ankiweb ccc book
B4L02-II-26	或	或	huò	Conj	or	slides quizlet quizlet ankiweb ddsg ccc book
B4L02-II-28	留意	留意	liúyì	Vst	to pay attention to, take note of	slides quizlet ankiweb ccc book
B4L02-II-37	無人不知無人不曉	无人不知无人不晓	wúrén bùzhī wúrén bùxiǎo		known to all	ankiweb ddsg ccc
B4L02-II-38	百聞不如一見	百闻不如一见	bǎiwén bùrú yíjiàn		seeing it once is better than hearing about it a hundred times	slides quizlet ankiweb ddsg ccc
B4L02-II-43	口腹之慾	口腹之欲	kǒufù zhīyù		the desire of one's palate	slides quizlet ankiweb ddsg
B4L03-I-01	李文麗	李文丽	Lǐ Wénlì		Li Wenli, female	slides quizlet ankiweb ddsg ccc
B4L03-I-02	外婆	外婆	wàipó	N	grandma	slides quizlet ankiweb ccc book
B4L03-I-10	仿冒品	仿冒品	fǎngmàopǐn	N	knock-off, counterfeit product (仿冒 fǎngmào, counterfeit; 品 -pǐn, product)	ankiweb ccc book
B4L03-I-13	落差	落差	luòchā	N	difference	slides quizlet ankiweb ccc book
B4L03-I-17	嘛	嘛	ma	Ptc	sentence particle,'it is obvious that'	quizlet
B4L03-I-18	慣	惯	guàn	Ptc	to get used to, accustomed to etc...	slides quizlet book
B4L03-I-19	瀏覽	浏览	liúlǎn	V	to browse, surf (the internet)	slides quizlet ankiweb ddsg ccc
B4L03-I-24	盜用	盗用	dàoyòng	V	to hack, use illegitamately	slides quizlet
B4L03-I-25	認證	认证	rènzhèng	V/N	to certify; certification	slides quizlet ankiweb ddsg ccc
B4L03-I-26	銀髮族	银发族	yínfǎzú	N	senior citizens, seniors (銀 yín, silver; 髮 fǎ, hair)	ankiweb ddsg book
B4L03-I-27	從前	从前	cóngqián	N	in the past, before, formerly	slides quizlet ankiweb ddsg ccc
B4L03-I-30	付款	付款	fùkuǎn	V-sep	to make payment	slides quizlet ankiweb ddsg ccc
B4L03-I-31	雲端科技	云端科技	yúnduān kējì		cloud/internet technology	slides quizlet book
B4L03-I-34	退換	退换	tuì huàn		to return, to exchange for something else	slides quizlet ankiweb ddsg ccc
B4L03-II-03	距離	距离	jùlí	N	distance	slides ankiweb ddsg ccc book
B4L03-II-07	取得	取得	qǔdé	V	to obtain, access	slides quizlet ankiweb ccc book
B4L03-II-09	民眾	民众	mínzhòng	N	the public, people in general	slides quizlet ankiweb ddsg ccc
B4L03-II-21	原本	原本	yuánběn	Adv	originally	slides quizlet ankiweb ddsg ccc
B4L03-II-33	視力	视力	shìlì	N	vision, eyesight	slides quizlet ankiweb ddsg ccc
B4L03-II-46	總而言之	总而言之	zǒng'ér yánzhī		in conclusion, to sum up, in short	slides quizlet ankiweb ddsg
B4L04-I-03	總算	总算	zǒngsuàn	Adv	finally	slides quizlet ankiweb ccc book
B4L04-I-11	風水師	风水师	fēngshuǐshī	N	Feng Shui master, geomancer (風水 fēngshuǐ, Feng Shui; 師 -shī, master)	slides quizlet ankiweb book
B4L04-I-19	布置	布置	bùzhì	N/V	décor, layout, arrangement; to decorate, to arrange furniture	slides quizlet ankiweb ddsg ccc
B4L04-I-28	床腳	床脚	chuángjiǎo	N	foot of the bed	slides quizlet ankiweb ddsg ccc
B4L04-I-30	擺飾	摆饰	bǎishì	N	décor, ornaments	slides quizlet ankiweb ddsg ccc
B4L04-I-32	把	把	bǎ	M	measure word for objects that can be grasped or objects with a handle, e.g., umbrella, knife	slides quizlet ankiweb ddsg ccc
B4L04-I-34	風水學	风水学	Fēngshuǐxué		the study of Feng Shui, geomancy (學 -xué, study, -ology)	slides quizlet book
B4L04-I-36	譬如說	譬如说	pìrú shuō		for example	slides quizlet ankiweb ddsg ccc
B4L04-I-38	死定了	死定了	sǐdìngle		(You're) a dead man; You're toast	mquizlet
B4L04-II-02	便利性	便利性	biànlìxìng	N	convenience (性 -xìng, property, suffix indicating that a term is a noun)	slides quizlet ankiweb book
B4L04-II-05	詞	词	cí	N	term, word	ankiweb book
B4L04-II-06	西元	西元	Xīyuán	N	A.D.	slides quizlet ankiweb ccc
B4L04-II-11	塑造	塑造	sùzào	V	to shape	slides quizlet ankiweb ccc book
B4L04-II-21	聚寶盆	聚宝盆	jùbǎopén	N	treasure basin, similar to a cornucopia but filled with treasure (聚 -jù, to gather; 寶 -bǎo, treasure; 盆 -pén, basin)	slides ankiweb book
B4L04-II-25	錢幣	钱币	qiánbì	N	coins, currency	ankiweb book
B4L04-II-31	如意	如意	rúyì	N	ruyi, scepter, s-shaped ornamental object that brings good luck	slides quizlet ankiweb ddsg ccc
B4L04-II-33	偶然	偶然	ǒurán	Vs	random, accidental, chancy	slides quizlet ankiweb ccc book
B4L04-II-39	松智路	松智路	Sōngzhì Lù		Songzhi Road	slides quizlet ankiweb ddsg ccc
B4L04-II-40	一命二運三風水	一命二运三风水	yímìng èryùn sānfēngshuǐ		Fate is most important. Luck is second. Feng Shui is third.	slides quizlet ankiweb ccc book
B4L04-II-42	咬錢龜	咬钱龟	yǎoqián guī		money-biting turtle	slides quizlet ankiweb ddsg ccc
B4L05-I-04	採訪	采访	cǎifǎng	V	to interview	slides quizlet ankiweb ccc book
B4L05-I-10	學士	学士	xuéshì	N	bacheloars, college degree	slides quizlet
B4L05-I-22	逃避	逃避	táobì	V	to evade, escape	slides quizlet ankiweb ccc book
B4L05-I-25	啃老族	啃老族	kěnlǎozú	N	a "sponge", a "parasite", somebody who feeds off the old (啃老 kěnlǎo, live off one's parents, lit. gnaw on the old)	slides quizlet book
B4L05-I-26	收攤	收摊	shōutān	V-sep	to close up shop (said of street stalls)	slides quizlet ankiweb ddsg ccc
B4L05-I-27	清潔隊員	清洁队员	qīngjié duìyuán		cleaning squad, street cleaners (清潔 qīngjié, to clean; 隊員 -duìyuán, team member)	slides book
B4L05-I-30	話說回來	话说回来	huàshuō huílái		on the other hand, however	slides quizlet ankiweb ddsg ccc
B4L05-II-06	勉強	勉强	miǎnqiǎng	Adv	barely, with great reluctance	slides quizlet ankiweb ccc book
B4L05-II-08	組織	组织	zǔzhī	N	organization	slides quizlet ankiweb ccc book
B4L05-II-09	抗議	抗议	kàngyì	V	to protest against	slides quizlet ankiweb ddsg ccc
B4L05-II-11	房價	房价	fángjià	N	housing prices	slides quizlet ankiweb ddsg ccc
B4L05-II-13	造成	造成	zàochéng	Vpt	to cause, produce, make	slides quizlet ankiweb ccc book
B4L05-II-33	餐飲業	餐饮业	cānyǐnyè	N	food and beverage industry	slides quizlet ankiweb ddsg ccc
B4L05-II-36	挑戰	挑战	tiǎozhàn	N	challenge	slides quizlet ankiweb ccc book
B4L05-II-43	無殼蝸牛	无壳蜗牛	wúké guāniú		"snails without shells" (people who cannot afford to buy their own home)	slides quizlet book
B4L05-II-44	貧富不均	贫富不均	pínfù bùjūn		gap between the rich and the poor, unequal distribution of wealth	slides quizlet ankiweb book
B4L05-II-47	恨不得	恨不得	hènbùdé		to be dying to, desperately	slides quizlet ankiweb ccc book
B4L05-II-49	一片天	一片天	yípiàntiān		"place in the sun", a job that makes you happy and provides you with all the money and things that you want, paradise	slides quizlet book
B4L06-I-03	搖	摇	yáo	Vp	to rock, shake	slides quizlet ankiweb ddsg ccc
B4L06-I-08	斷	断	duàn	Vp	to break, snap	slides quizlet ankiweb ddsg ccc
B4L06-I-09	多	多	duó	Adv	so	ankiweb ccc book
B4L06-I-16	雞	鸡	jī	N	chicken	slides quizlet ankiweb ddsg ccc
B4L06-I-25	嫌	嫌	xián	Vst	to grumble	slides quizlet ankiweb ccc book
B4L06-I-28	西歐	西欧	Xī Ōu		Western Europe	slides ankiweb ddsg ccc book
B4L06-I-29	北歐	北欧	Běi Ōu		Northern Europe	slides ankiweb ddsg ccc book
B4L06-I-30	中歐	中欧	Zhōng Ōu		Central Europe	slides ankiweb ddsg ccc book
B4L06-I-31	澳洲	澳洲	Àozhōu		Australia	slides ankiweb ddsg ccc book
B4L06-I-35	天搖地動	天摇地动	tiānyáo dìdòng		swaying heavens and trembling earth, earth-shaking	quizlet ankiweb ccc book
B4L06-I-37	災情慘重	灾情惨重	zāiqíng cǎnzhòng		in serious disaster	slides quizlet ankiweb ccc book
B4L06-I-38	東半部	东半部	dōngbànbù		the eastern half	ankiweb ccc book
B4L06-I-39	地震帶	地震带	dìzhèn dài		seismic zone, earthquake belt	slides quizlet ankiweb ddsg ccc
B4L06-I-41	有備無患	有备无患	yǒubèi wúhuàn		be prepared, be on the safe side	slides quizlet ankiweb ddsg ccc
B4L06-II-03	發達	发达	fādá	Vs	advanced, developed	ankiweb ccc book
B4L06-II-11	必需品	必需品	bìxūpǐn	N	necessities (必需 bìxū, essential, indispensable)	slides quizlet ankiweb book
B4L06-II-16	狀況	状况	zhuàngkuàng	N	situation, circumstance	ankiweb book
B4L06-II-18	停電	停电	tíngdiàn	Vp-sep	to have a power outage	slides quizlet ankiweb ddsg ccc
B4L06-II-19	黑暗	黑暗	hēi'àn	N	the darkness	slides quizlet ddsg
B4L06-II-36	堅固	坚固	jiāngù	Vs	strong, firm, solid	slides quizlet ankiweb ddsg ccc
B4L06-II-43	指示	指示	zhǐshì	N	instructions, commands	slides quizlet ankiweb ddsg ccc
B4L07-I-04	學弟	学弟	xuédì	N	male lower classmate	slides quizlet ankiweb ddsg ccc
B4L07-I-05	彈	弹	tán	V	to play (piano, guiter)	slides quizlet
B4L07-I-09	學長	学长	xuézhǎng	N	male upper classmate	slides quizlet ankiweb ddsg ccc
B4L07-I-21	訓練	训练	xùnliàn	N/V	training; to train	slides quizlet ankiweb ddsg ccc
B4L07-I-25	二分之一	二分之一	èrfēn zhīyī		1/2	slides quizlet ankiweb ccc book
B4L07-I-26	一下…一下…	一下…一下…	yíxià...yíxià...		measure phrase, describing fast-changing alternating scenes of two activities	ankiweb ccc book
B4L07-I-27	到時候	到时候	dào shíhòu		at that time, when the time comes	slides quizlet ankiweb ddsg ccc
B4L07-I-28	談戀愛	谈恋爱	tán liànài		to be in love, go steady (said of dating couples)	slides quizlet book
B4L07-II-02	目光	目光	mùguāng	N	eyes, gaze	slides quizlet ankiweb ccc book
B4L07-II-03	移動	移动	yídòng	Vi	to move	slides quizlet ankiweb ccc book
B4L07-II-08	學生會	学生会	xuéshēnghuì	N	student union (會 -huì, organization)	slides quizlet ankiweb book
B4L07-II-09	會長	会长	huìzhǎng	N	president of an association, club etc... (長 -zhǎng, head)	ankiweb book
B4L07-II-11	隊員	队员	duìyuán	N	team member (員 -yuán, member, person)	slides quizlet ankiweb book
B4L07-II-12	高大	高大	gāodà	Vs	tall and big, bulky	slides ankiweb ddsg ccc book
B4L07-II-17	情人節	情人节	qíngrénjié	N	Valentine's Day (節 -jié, holiday, day)	slides ankiweb book
B4L07-II-18	親手	亲手	qīnshǒu	Adv	personally, with one's own hands	slides quizlet ankiweb ddsg
B4L07-II-20	當天	当天	dāngtiān	N	that day	slides quizlet ankiweb ccc book
B4L07-II-23	告白	告白	gàobái	Vi	to confess	slides quizlet ankiweb ccc book
B4L07-II-35	安全感	安全感	ānquángǎn	N	the feeling of security (感 -gǎn, sense/feeling of)	slides ankiweb ddsg ccc book
B4L07-II-42	何清源	何清源	Hé Qīngyuán		a male college student	slides quizlet ankiweb ddsg ccc
B4L08-I-13	婚姻	婚姻	hūnyīn	N	marriage	slides quizlet ankiweb ddsg ccc
B4L08-I-17	推行	推行	tuīxíng	V	to promote	slides quizlet ankiweb ccc book
B4L08-I-18	生育	生育	shēngyù	V/N	to have babies; reproduction, childbirth	slides quizlet ankiweb ddsg ccc
B4L08-I-21	夫婦	夫妇	fūfù	N	husband and wife, couple (夫 -fū, man; 婦 -fù, woman)	slides quizlet book
B4L08-I-25	婦產科	妇产科	fùchǎnkē	N	obstetrics and gynecology, OB/GYN (婦 -fù, woman; 產 -chǎn, produce; 科 -kē, department)	slides quizlet ankiweb book
B4L08-I-27	補習班	补习班	bǔxíbān	N	cram school (補習 bǔxí, supplement studies; 班 -bān, class)	slides quizlet ankiweb ccc book
B4L08-I-28	不可思議	不可思议	bùkě sīyì		hard to comprehend, beyond logic, unbelievable	slides quizlet ankiweb ccc book
B4L08-I-29	有話直說	有话直说	yǒuhuà zhíshuō		to be frank, don't hold anything back, spit it out	slides quizlet ankiweb book
B4L08-I-31	不足為奇	不足为奇	bùzú wéiqí		nothing strange, not surprising at all	slides quizlet ankiweb ccc book
B4L08-I-32	遠遠	远远	yuǎnyuǎn		by far	slides quizlet ankiweb ccc book
B4L08-I-33	傳宗接代	传宗接代	chuánzōng jiēdài		carry on the family line	slides quizlet ankiweb ccc book
B4L08-I-34	無拘無束	无拘无束	wújū wúshù		carefree, free, do as one pleases	slides quizlet ankiweb ccc book
B4L08-II-02	生育率	生育率	shēngyùlǜ	N	birth rate (率 -lǜ, rate)	slides quizlet ankiweb ccc
B4L08-II-07	行業	行业	hángyè	N	businesses, walks of life	slides quizlet ankiweb ccc book
B4L08-II-13	少子化	少子化	shǎozǐhuà	Vp	low birth rate (少, few; 子, children; 化 -huà, -ize, suffix indicating tranformation)	slides quizlet book
B4L08-II-15	兒童	儿童	értóng	N	child(ren)	mquizlet
B4L08-II-29	延長	延长	yáncháng	V	to extended, make longer	slides quizlet ankiweb ccc mquizlet
B4L08-II-45	財政	财政	cáizhèng	N	finance	slides quizlet ankiweb ccc
B4L08-II-48	正	正	zhèng	Adv	during the process of	slides quizlet ankiweb ccc
B4L09-I-07	據說	据说	jùshuō	V	it is said	slides quizlet ankiweb ddsg ccc
B4L09-I-18	風光	风光	fēngguāng	N	glory	slides quizlet ankiweb ddsg ccc
B4L09-I-24	時期	时期	shíqí	N	period, age	slides quizlet ankiweb ccc book
B4L09-I-35	淡水河	淡水河	Dànshuǐ Hé		Tamsui River (河 -hé,river)	Place slides quizlet book
B4L09-I-36	萬華	万华	Wànhuá		Wanhua	slides quizlet ankiweb ccc book
B4L09-I-40	滿山遍野	满山遍野	mǎnshān biànyě		all over the mountains and plains	slides ankiweb ddsg ccc book
B4L09-I-44	垂涎三尺	垂涎三尺	chuíxián sānchǐ		to salivate over, make one's mouth water	slides quizlet ankiweb book
B4L09-II-03	佔	占	zhàn	Vst	constitute (same as "占")	slides book
B4L09-II-06	往來	往来	wǎnglái	N	dealings, contact	slides quizlet ankiweb ddsg ccc
B4L09-II-24	筆	笔	bǐ	M	sum (of money)	slides quizlet ankiweb ddsg ccc
B4L09-II-25	仍然	仍然	réngrán	Adv	still	slides quizlet ankiweb ddsg ccc
B4L09-II-28	究竟	究竟	jiùjìng	Adv	after all, in the end, actually	slides quizlet ankiweb ccc book
B4L09-II-29	內心	内心	nèixīn	N	in one's heart, heart of hearts, innermost being	slides quizlet ankiweb ddsg
B4L09-II-33	逃難	逃难	táonàn	Vi	to flee from war, natural disaster etc.	slides quizlet
B4L09-II-36	遭遇	遭遇	zāoyù	N/V	(unhappy) experiences, happenings; to encounter, to have met with	slides quizlet ankiweb ddsg ccc
B4L09-II-38	老張	老张	Lǎo Zhāng		Lao Zhang, a nickname for someone whose surname is Zhang	ankiweb ccc book
B4L09-II-39	文化大革命	文化大革命	Wénhuà Dà Gémìng		Cultural Revolution (1966 ~ 1976)	ankiweb ccc book
B4L09-II-41	身強體壯	身强体壮	shēnqiáng tǐzhuàng		strong and healthy	slides quizlet ankiweb ddsg ccc
B4L09-II-42	離鄉背井	离乡背井	líxiāng bèijǐng		to leave one's hometown to become a stranger else where	slides quizlet ddsg book
B4L09-II-43	飄洋過海	飘洋过海	piāoyáng guòhǎi		to sail cross the sea	slides quizlet ankiweb ddsg ccc
B4L09-II-44	朝思暮想	朝思暮想	zhāosī mùxiǎng		to be a miss day and night	slides quizlet book
B4L09-II-47	刻骨銘心	刻骨铭心	kègǔ míngxīn		unforgettable, to be imprinted hard in one's mind	slides ankiweb book
B4L10-I-01	何建明	何建明	Hé Jiànmíng		a male college graduate	ankiweb ccc book
B4L10-I-18	畢業生	毕业生	bìyèshēng	N	graduate	ankiweb ccc book
B4L10-I-19	大一	大一	dàyī	N	freshman, first-year university student (大二 sophomore, 大三 junior, 大四 senior)	ankiweb ccc book
B4L10-I-25	音樂會	音乐会	yīnyuèhuì	N	concert	ankiweb ccc book
B4L10-I-45	自我介紹	自我介绍	zìwǒ jièshào		self-introduction	slides quizlet ankiweb ccc book
B4L10-II-07	青年	青年	qīngnián	N	young people, youth	slides quizlet ankiweb ddsg ccc
B4L10-II-10	料	料	liào	N	material, (here) a person not suited for...	slides quizlet ankiweb ccc book
B4L10-II-17	技巧	技巧	jìqiǎo	N	tips	slides quizlet ankiweb ccc book
B4L10-II-24	是…的料	是…的料	shì...de liào		to be gifted in...	slides quizlet ankiweb ccc book
B4L10-II-26	提不起（勇氣）	提不起（勇气）	tíbùqǐ (yǒngqì)		unable to raise...to a high level to pump up (enough courage)	book
B4L10-II-27	養家活口	养家活口	yǎngjiā huókǒu		support one's family	slides quizlet ankiweb book
B4L10-II-28	來自	来自	láizì		from 來 + literary preposition 自 "from" = 從...來	book
B4L10-II-29	熟讀	熟读	shóudú		to keep reading something until one remembers everything	slides quizlet ankiweb ccc book
B4L10-II-30	考古題	考古题	kǎogǔtí		test items from previous years (題 -tí, for test items)	slides ankiweb ddsg ccc book
B4L10-II-32	深藍色	深蓝色	shēnlánsè		dark blue	book
B4L11-I-02	熔爐	熔炉	rónglú	N	melting pot, smelting furnace, crucible	slides quizlet ankiweb ddsg ccc
B4L11-I-11	縣	县	xiàn	N	county	slides quizlet ankiweb ddsg ccc
B4L11-I-16	溝通	沟通	gōutōng	N	communication	slides quizlet ankiweb ddsg ccc
B4L11-I-17	障礙	障碍	zhàng'ài	N	obstacle, handicap	slides quizlet ddsg
B4L11-I-18	良好	良好	liánghǎo	Vs	positive	slides quizlet ankiweb ccc book
B4L11-I-21	衝擊	冲击	chōngjí	N	impact	slides quizlet ankiweb ccc book
B4L11-I-22	大眾	大众	dàzhòng	N	the public, the masses	slides quizlet ankiweb ddsg ccc
B4L11-I-27	移入	移入	yírù	V	to immigrate (入, enter, into (formal))	slides quizlet ankiweb book
B4L11-I-32	子女	子女	zǐnǚ	N	children (from 兒子+女兒)	slides ankiweb ddsg ccc
B4L11-I-38	聯絡	联络	liánluò	V	to contact, to connect with	ankiweb ccc book
B4L11-I-41	氣人	气人	qìrén		exasperating, annoying	slides quizlet ankiweb ddsg ccc
B4L11-I-42	照說	照说	zhào shuō		to keep on saying...	slides quizlet ankiweb ccc book
B4L11-I-43	在…之餘	在…之余	zài...zhīyú		to do something at a time when not doing...	slides quizlet ankiweb ccc book
B4L11-I-45	自己人	自己人	zìjǐrén		one of us, one of our own, compatriots	slides quizlet ankiweb ddsg ccc
B4L11-I-46	哪裡！哪裡！	哪里！哪里！	nǎlǐ nǎlǐ		not at all, not a problem, you're welcome	slides quizlet book
B4L11-II-02	曾	曾	céng	Adv	have been before, was once (formal)	ankiweb ccc book
